,ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
10,0x1b913,CUS_0x6f71,February,Brianr,34,445-60-2482,Lawyer,65076.0,5160.0,3,5,4,4,"Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Credit-Builder Loan",9,10,4.29,,_,451.78,24.52938188861332,22 Years and 4 Months,NM,216.28942161757055,282.91086941734767,High_spent_Small_value_payments,276.79970896508183,Standard
11,0x2405f,CUS_0x192f,June,Luciam,22,952-38-9618,Accountant,69304.04,5695.336666666666,5,7,11,7,"Not Specified, Personal Loan, Not Specified, Home Equity Loan, Personal Loan, Payday Loan, and Credit-Builder Loan",27,8,7.76,5.0,_,1760.52,27.383079048047648,15 Years and 10 Months,Yes,325.42189873573034,65.48786873414454,High_spent_Medium_value_payments,428.6238991967917,Poor
12,0x253af,CUS_0x745b,June,Axelx,45,516-38-0624,Writer,43534.9_,3758.9083333333338,3,6,15,4,"Payday Loan, Payday Loan, Not Specified, and Debt Consolidation Loan",8,18,16.51,7.0,Standard,314.58,32.87915841174952,18 Years and 9 Months,Yes,100.40804469116692,98.3218990161874,Low_spent_Medium_value_payments,457.16088962597917,Standard
13,0xce8f,CUS_0x5ef3,February,Manoloq,28,933-56-0293,Lawyer,27559.56,2253.63,6,7,3,3,"Auto Loan, Payday Loan, and Not Specified",7,21,7.69,2.0,Good,160.02,32.649397677050736,26 Years and 6 Months,No,41.16753610055615,__10000__,!@9#%8,175.13229447869412,Good
14,0x1fb9,CUS_0x8208,April,Jonathan Spicers,36,084-02-0981,Teacher,94454.1,,1,4,5,3,"Credit-Builder Loan, Home Equity Loan, and Home Equity Loan",9,6,1.63,4.0,Good,1342.61,42.79757496924778,30 Years and 0 Months,No,152.50689472836868,__10000__,High_spent_Medium_value_payments,566.5588405786159,Good
15,0x20bc5,CUS_0x4943,April,Martin Santat,35,455-66-3671,Architect,89772.84,,8,3,9,2,"Not Specified, and Student Loan",12,16,3.15,2.0,Standard,1177.54,27.28473845348646,22 Years and 4 Months,No,77.06309666617581,201.1510602450288,!@9#%8,735.3928430887953,Standard
16,0x105ee,CUS_0x6aeb,May,Stevek,42,381-73-9446,Journalist,83669.52,6869.46,8,6,405,3,"Home Equity Loan, Personal Loan, and Auto Loan",16,9,12.22,4.0,Standard,1234.99,25.92282165152479,16 Years and 9 Months,Yes,179.52553770894218,520.9530655973952,Low_spent_Medium_value_payments,266.4673966936627,Standard
17,0x1d3c3,CUS_0x5513,June,Marton Dunaia,45,319-84-0979,Engineer,28828.86_,2631.405,7,7,19,8,"Personal Loan, Credit-Builder Loan, Auto Loan, Mortgage Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, and Student Loan",23,21,19.11,11.0,Bad,2982.96,25.97290901555346,6 Years and 4 Months,NM,144.03868906888604,78.33340778546523,High_spent_Small_value_payments,300.7684031456488,Poor
18,0x11a2a,CUS_0xbf94,January,Tim Hepherq,40,241-09-9258,Manager,159032.52,,0,1,10,3,"Payday Loan, Debt Consolidation Loan, and Mortgage Loan",10,10,2.21,2.0,Good,1292.52,29.94699226320241,32 Years and 1 Months,No,388.0236417243358,211.3731087754831,High_spent_Large_value_payments,978.8742495001812,Good
19,0x246bc,CUS_0xc029,March,Scuffhamv,25,804-18-5334,Engineer,57442.5,,8,8,27,2,"Student Loan, and Payday Loan",55,25,4.06,12.0,_,2419.98,32.794867001251376,17 Years and 10 Months,Yes,91.85758959564836,631.6902031835263,Low_spent_Small_value_payments,59.93970722082543,Poor
20,0x11f31,CUS_0x7e02,April,Alexeie,39,971-95-2589,Lawyer,10091249.0,5801.6500000000015,7,10,19,7,"Payday Loan, Credit-Builder Loan, Student Loan, Student Loan, Credit-Builder Loan, Mortgage Loan, and Not Specified",16,,26.04,12.0,_,4100.98,35.412842893351005,4 Years and 1 Months,Yes,263.063038752115,367.4356541383233,Low_spent_Small_value_payments,239.66630710956176,Standard
21,0x204e2,CUS_0x1c59,May,Dayz,41,277-13-7658,Doctor,19188.055,1358.0045833333334,5,4,2,3,"Debt Consolidation Loan, Debt Consolidation Loan, and Payday Loan",1,10,4.5,2.0,_,464.09,28.87894976229498,22 Years and 6 Months,No,44.602370142630434,47.128122640496656,Low_spent_Large_value_payments,314.06996555020623,Good
22,0x14dcd,CUS_0x7c8d,August,Rhys Jonesi,23,313-03-7956,Media_Manager,29132.58,2559.715,7,10,24,6,"Credit-Builder Loan, Auto Loan, Not Specified, Personal Loan, Debt Consolidation Loan, and Personal Loan",40,21,18.5,7.0,_,4306.15,29.96443430537148,10 Years and 11 Months,NM,136.4572256165261,333.84466427093935,!@9#%8,75.66961011253451,Poor
23,0x11251,CUS_0x1440,August,Jinq,19,807-69-2993,Teacher,7780.49_,368.37416666666667,8,5,33,7,"Personal Loan, Debt Consolidation Loan, Personal Loan, Home Equity Loan, Mortgage Loan, Mortgage Loan, and Not Specified",59,17,25.55,6.0,Bad,4108.42,35.14726508111757,12 Years and 9 Months,Yes,38.10787109936564,19.930898272426518,Low_spent_Large_value_payments,248.79864729487448,Standard
24,0x101e6,CUS_0x9d64,May,Clarkh,27,706-23-5738,Accountant,116114.76,9541.23,5,3,18,0,,12,,9.96,7.0,Standard,37.71,35.708145656373866,16 Years and 1 Months,Yes,0.0,94.939229401641,High_spent_Large_value_payments,1099.1837705983592,Standard
25,0x1034f,CUS_0x4b41,June,Siddharth Cavalen,48,467-48-3022,Musician,121486.92,10314.91,3,5,12,3,"Home Equity Loan, Student Loan, and Student Loan",25,3,8.95,1053.0,Good,605.65,38.713377153195594,16 Years and 7 Months,NM,217.1600114270701,156.08505927729672,High_spent_Large_value_payments,898.2459292956332,Poor
26,0xd224,CUS_0x8f05,July,Krishnanp,15,261-87-4617,Engineer,14569.27,1188.7741271176524,9,8,20,7,"Not Specified, Not Specified, Credit-Builder Loan, Payday Loan, Debt Consolidation Loan, Home Equity Loan, and Not Specified",24,13,20.71,,Bad,2654.18,35.67746344148856,,Yes,155.32623085075994,133.97874958948879,Low_spent_Small_value_payments,214.53730910876544,Good
27,0x78cc,CUS_0xac7b,July,Jessica Wohlt,46,651-72-0851,Developer,27288.85,2524.070833333333,1114,3,5,4,"Payday Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",9,8,19.85,6.0,Standard,1354.13,30.16609523561621,19 Years and 7 Months,Yes,65.72813668134296,125.57309411352156,Low_spent_Medium_value_payments,341.1058525384688,Standard
28,0x1a90e,CUS_0x5053,May,Maha Elz,21,136-08-1655,Entrepreneur,97735.08,,3,6,5,4,"Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, and Auto Loan",1,3,2.87,2.0,Good,358.24,31.25362913349611,,No,233.43593515907187,198.04105909846885,High_spent_Large_value_payments,646.1820057424594,Standard
29,0x15b7d,CUS_0x8179,August,Soyoungs,29,646-61-9900,Media_Manager,69194.98,5657.248333333332,3,4,16,0_,,27,11,14.43,10.0,Standard,911.82,32.35967498078681,19 Years and 8 Months,Yes,0.0,578.8748696140652,Low_spent_Small_value_payments,276.849963719268,Standard
30,0x14355,CUS_0x2dc9,April,Lynchc,28,419-02-3637,Accountant,12505.6,1223.1333333333334,8,3,19,0_,,29,16,8.81,3.0,Standard,304.77,33.52694172278449,21 Years and 0 Months,No,0.0,88.81404954292162,Low_spent_Small_value_payments,323.4992837904117,Standard
31,0x562f,CUS_0x8df6,February,Nadia Saleems,32,217-58-1095,Lawyer,7174.99,886.9158333333335,10,8,25,7,"Payday Loan, Personal Loan, Payday Loan, Home Equity Loan, Student Loan, Home Equity Loan, and Mortgage Loan",49,24,20.88,12.0,_,4265.64,22.302033257385244,5 Years and 10 Months,Yes,32.266669661345375,92.33220306077341,!@9#%8,254.09271061121456,Standard
32,0x25882,CUS_0xdcc,May,Schererm,38,317-53-8005,_______,23737.09,2241.0908333333336,4,5,11,3,"Student Loan, Home Equity Loan, and Not Specified",20,,8.21,6.0,Standard,91.78,37.3096585630398,24 Years and 2 Months,Yes,47.141828527927935,71.27897363264792,!@9#%8,355.6882811727575,Poor
33,0x2d60,CUS_0xc055,July,Guillermo Parra-Bernale,26,600-94-2851,Developer,35118.1_,3113.508333333333,5,7,6,3,"Home Equity Loan, Payday Loan, and Personal Loan",31,13,12.7,8.0,_,407.74,26.25521120595021,32 Years and 7 Months,Yes,45.18912916309637,168.9440491086259,Low_spent_Small_value_payments,387.2176550616111,Standard
34,0x56d8,CUS_0x6e58,March,,18,040-93-1290,Journalist,22931.66,1863.9716666666664,3,6,5,0,,27,11,4.87,2.0,Standard,834.51,25.63852397348253,28 Years and 0 Months,Yes,0.0,169.815055557974,Low_spent_Medium_value_payments,296.58211110869263,Standard
35,0x4a9a,CUS_0xaad7,January,George Georgiopoulosm,35,555-72-2698,Writer,40602.72,3177.56,4,6,14,3,"Not Specified, Credit-Builder Loan, and Debt Consolidation Loan",11,12,8.08,2.0,Standard,1314.56,38.178015466836975,29 Years and 9 Months,No,96.20398492235977,84.14747689490027,High_spent_Medium_value_payments,387.40453818274,Standard
36,0x98f4,CUS_0x3733,July,Jim Finklen,42,684-91-0976,Developer,12868.625,829.3854166666667,6,7,5,-100,"Debt Consolidation Loan, Credit-Builder Loan, Credit-Builder Loan, and Home Equity Loan",28,8,0.77,3.0,Standard,837.85,30.988611493183303,33 Years and 4 Months,NM,39.26859785049104,59.11133336755002,Low_spent_Small_value_payments,274.55861044862564,Standard
37,0x12a65,CUS_0x7315,April,Browns,43,792-06-3719,Writer,19337.16,1463.43,5,501,17,1,Auto Loan,7,19,5.9,0.0,_,449.37,30.447229786259488,18 Years and 8 Months,Yes,14.608879747473724,58.60755061756285,Low_spent_Small_value_payments,363.1265696349634,Standard
38,0x8502,CUS_0x7e3e,January,Gershbergk,30,230-16-9822,Engineer,80932.92,6759.41,8,6,22,4_,"Credit-Builder Loan, Payday Loan, Not Specified, and Payday Loan",59,28,1.2199999999999998,6.0,Bad,2696.09,30.00073472897061,15 Years and 9 Months,Yes,192.81087769599893,52.22926399004282,High_spent_Large_value_payments,670.9008583139583,Poor
39,0x13373,CUS_0x438d,June,Kimf,19,781-87-1917,Media_Manager,108782.52,7704.746711331262,5,7,5,0_,,27,,7.82,9.0,Standard,858.29,38.34639953320757,16 Years and 10 Months,Yes,1314.4632886687368,__10000__,High_spent_Large_value_payments,1064.1406958479254,Good
40,0xa59a,CUS_0xa6bd,May,,28_,871-70-7348,Manager,76092.27,6055.0225,1747,6,12,6,"Student Loan, Personal Loan, Home Equity Loan, Home Equity Loan, Not Specified, and Not Specified",7,,12.25,8.0,Standard,1266.19,30.79796419529595,5 Years and 8 Months,Yes,208.99678103164783,208.86102159469246,!@9#%8,467.64444737365966,Standard
41,0xc05f,CUS_0xba8,June,,26,777-03-1147,Manager,18327.97,1276.3308333333334,10,5,34,3,"Personal Loan, Home Equity Loan, and Home Equity Loan",49,11,13.63,12.0,Standard,2358.32,38.5090140783746,18 Years and 4 Months,Yes,23.823110550113203,52.50888369116664,High_spent_Medium_value_payments,301.3010890920536,Poor
42,0x22b42,CUS_0x74e5,January,Wickhamw,24,596-70-1576,_______,84120.45000000001,7031.037500000001,2,7,8,3,"Payday Loan, Not Specified, and Student Loan",5,0,4.91,0.0,Good,1317.56,30.137894479819145,18 Years and 11 Months,No,136.27775632878337,144.321277095557,High_spent_Small_value_payments,682.5047165756597,Standard
43,0x12e11,CUS_0x4c87,August,Tarah,53_,671-87-7765,Musician,40428.66,3553.0550000000007,3,5,6,0,,7,12,6.66,,Standard,72.67,28.39428087077566,,No,0.0,224.0641023970808,Low_spent_Large_value_payments,401.24139760291933,Poor
44,0x414c,CUS_0x1fef,July,Cruiseb,20,146-41-8269,Journalist,20066.6,,7,3,10,4,"Auto Loan, Auto Loan, Credit-Builder Loan, and Credit-Builder Loan",20,9,18.78,9.0,Standard,491.75,29.659584461510164,17 Years and 9 Months,Yes,45.60538387293008,,Low_spent_Large_value_payments,309.8420345907278,Standard
45,0x1f91c,CUS_0x74d2,March,Peter Griffithse,31,152-76-6067,Writer,21205.82,1880.1516666666664,3,3,3,0,,9,4282,10.72,3.0,_,848.17,33.475314560966176,23 Years and 6 Months,No,0.0,69.14309857992524,High_spent_Small_value_payments,378.8720680867415,Poor
46,0x2433c,CUS_0x205a,July,Lawrencej,20,344-24-4622,Lawyer,59908.77,,3,3,29,5,"Personal Loan, Student Loan, Credit-Builder Loan, Payday Loan, and Auto Loan",21,12,8.99,9.0,Standard,1323.98,36.191916427173354,,NM,173.32440554243774,155.93680998720828,High_spent_Small_value_payments,455.878534470354,Poor
47,0x8323,CUS_0x9e7a,February,,25,#F%$D@*&8,Musician,25610.67,2190.2225,3,4,19,2_,"Student Loan, and Credit-Builder Loan",9,14,2.24,1.0,Standard,46.58,26.684356115385825,24 Years and 5 Months,No,24.799708931743428,122.49674469464972,Low_spent_Large_value_payments,341.7257963736068,Standard
48,0xbf95,CUS_0xae0a,August,,26_,662-79-7638,Manager,38635.95,3048.6625,2,2,4,4_,"Credit-Builder Loan, Student Loan, Student Loan, and Credit-Builder Loan",4,10,14.63,4.0,Good,562.21,38.92666042577503,30 Years and 9 Months,No,66.37896276000392,163.47298538606927,Low_spent_Small_value_payments,365.01430185392684,Good
49,0x20e70,CUS_0x2596,March,Herbert Lasho,15,#F%$D@*&8,Lawyer,19886.07,1864.1725,8,6,5,2,"Debt Consolidation Loan, and Student Loan",17,11,13.65,5.0,Standard,1108.32,30.890527712393432,16 Years and 7 Months,Yes,29.6053184075048,50.35816611980094,High_spent_Small_value_payments,366.45376547269433,Standard
50,0xc38a,CUS_0x972d,January,Stephen Browne,46,298-50-1190,Doctor,71605.0,6011.083333333332,2,5,4948,2,"Mortgage Loan, and Not Specified",12,7,10.38,1.0,_,519.84,37.78890628705125,,No,71.25191113184431,371.07186633948,!@9#%8,418.78455586200914,Standard
51,0x46e0,CUS_0x6865,July,Eva Kuehneno,43,292-07-5024,Entrepreneur,31645.66,2676.1383333333333,4,4,4,2,"Auto Loan, and Personal Loan",29,14,8.6,4.0,Good,807.06,23.66587085416416,26 Years and 7 Months,No,34.25754124687306,179.43966659221024,Low_spent_Large_value_payments,323.91662549425007,Good
52,0x1c65,CUS_0xb288,April,Nicolacir,44,390-44-4596,Journalist,126006.68,,4,3,20,3,"Personal Loan, Home Equity Loan, and Debt Consolidation Loan",9,12,7.28,0.0,Standard,385.8,28.671552671002782,26 Years and 2 Months,Yes,239.7673292742656,1082.8207308741428,Low_spent_Medium_value_payments,26.767606518258162,Standard
53,0x3931,CUS_0x2811,August,Paul Lienertz,35,470-38-8761,Architect,19328.71,1480.7258333333332,3,5,2,2,"Student Loan, and Credit-Builder Loan",7,4,7.27,3.0,Good,160.03,30.87102941176155,17 Years and 3 Months,No,25.87483029223768,57.89038239962823,High_spent_Medium_value_payments,314.30737064146734,Good
54,0x71fc,CUS_0xb223,March,Ann Saphirx,36,337-54-1559,Manager,34989.38,3211.7816666666663,4,3,9,3,"Personal Loan, Payday Loan, and Debt Consolidation Loan",1,12,11.28,4.0,Good,957.58,35.921253887633185,25 Years and 6 Months,No,84.11593622346284,89.4119087160137,High_spent_Medium_value_payments,397.6503217271901,Standard
55,0xf0ed,CUS_0x4067,April,Mike Peacockf,36,230-06-8689,Teacher,17101.62,,6,9,17,4,"Student Loan, Debt Consolidation Loan, Personal Loan, and Home Equity Loan",36,8,21.34,12.0,Standard,1742.35,39.40697459743664,11 Years and 11 Months,Yes,33.12879517578772,87.98788893390257,Low_spent_Medium_value_payments,293.89681589030965,Poor
56,0x1e76f,CUS_0x3716,February,Bartv,54,979-93-9286,Musician,78937.1,6605.091666666667,3,7,7,4,"Payday Loan, Payday Loan, Home Equity Loan, and Mortgage Loan",14,7,6.05,3.0,Good,520.56,39.14385042156009,31 Years and 8 Months,No,174.41634376694446,165.87441964194963,High_spent_Medium_value_payments,570.2184032577726,Poor
57,0x21ce3,CUS_0x8aa6,June,Alistair Barrc,51,347-13-4537,Lawyer,30635.83,2714.9858333333336,3,5,13,4,"Auto Loan, Student Loan, Payday Loan, and Debt Consolidation Loan",20,11,5.29,0.0,_,349.58,24.70393430435561,27 Years and 6 Months,No,88.41637293544753,276.63483647558616,Low_spent_Small_value_payments,196.44737392229973,Standard
58,0x9c9a,CUS_0x2d16,May,Andreaj,37,502-57-9756,Media_Manager,15335.895,1023.99125,0,7,12,3,"Student Loan, Auto Loan, and Home Equity Loan",7,0,3.16,6.0,Good,628.85,36.680555042723114,23 Years and 5 Months,No,35.37127954090837,25.65090281090225,High_spent_Medium_value_payments,291.3769426481894,Good
59,0x113d6,CUS_0x8a48,January,Johnsonn,26,005-97-6679,Engineer,22709.94,2057.495,6,7,13,4,"Credit-Builder Loan, Home Equity Loan, Mortgage Loan, and Debt Consolidation Loan",5,12,11.59,3.0,_,994.73,37.68434754658711,21 Years and 4 Months,No,44.98950838750849,246.46423016322913,Low_spent_Small_value_payments,204.2957614492624,Standard
60,0x23c40,CUS_0x4e07,July,,32,083-83-6855,Teacher,14235.88,1012.3233333333332,8,5,24,9,"Not Specified, Payday Loan, Mortgage Loan, Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, Personal Loan, Debt Consolidation Loan, and Debt Consolidation Loan",53,19_,22.16,11.0,_,4633.81,22.77181770826156,,Yes,62.5404407599224,26.053294852648087,Low_spent_Large_value_payments,282.63859772076285,Poor
61,0x1f5c9,CUS_0x5dd0,April,Ferreira-Marquesv,34,236-43-2661,Journalist,20058.555_,,5,3,4,3,"Not Specified, Not Specified, and Mortgage Loan",8,4,8.69,3.0,Good,390.98,33.781107461473525,15 Years and 10 Months,NM,35.39825995212125,103.398514340565,High_spent_Small_value_payments,302.9578507073138,Good
62,0xeec8,CUS_0x9244,July,Dhanyaz,43,481-35-7248,Scientist,48818.10000000001,4293.175000000001,8,6,20,-100,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Credit-Builder Loan, Not Specified, and Not Specified",63,20,-1.57,7.0,Bad,2218.45,31.070332051190423,17 Years and 4 Months,Yes,162.34322284444113,255.21554027241,Low_spent_Medium_value_payments,291.75873688314897,Poor
63,0x3450,CUS_0xff3,July,Somervilled,55,726-35-5322,Scientist,17032.785,1176.39875,0,363,2,3,"Personal Loan, Mortgage Loan, and Auto Loan",13,9,13.86,5.0,Good,1229.08,25.40296281211237,17 Years and 3 Months,No,33.299763542384525,84.46199194968126,Low_spent_Large_value_payments,269.8781195079343,Standard
64,0x1760d,CUS_0x5ee0,April,Tim Kellyb,45,931-87-9049,Mechanic,65319.32,5616.276666666668,4,6,9,2,"Home Equity Loan, and Debt Consolidation Loan",9,15,10.09,6.0,_,1081.77,41.91497883720552,13 Years and 11 Months,Yes,65.1735235467646,__10000__,High_spent_Large_value_payments,612.1394191721074,Standard
65,0x115e1,CUS_0x6c8e,August,Miless,19,672-18-8236,Manager,19098.69,1509.5575,8,10,22,9,"Mortgage Loan, Not Specified, Home Equity Loan, Mortgage Loan, Home Equity Loan, Credit-Builder Loan, Student Loan, Personal Loan, and Personal Loan",47,,26.84,154.0,Bad,4964.77,38.36595309041325,12 Years and 3 Months,Yes,95.42339345987509,161.87680368863272,Low_spent_Small_value_payments,183.6555528514922,Standard
66,0xe4b0,CUS_0x5df7,March,Sarah N.w,18,324-19-5816,Mechanic,8285.085,,6,6,33,5,"Debt Consolidation Loan, Payday Loan, Credit-Builder Loan, Credit-Builder Loan, and Mortgage Loan",53,21,18.56,7.0,Bad,1821.76,35.449434557739075,14 Years and 10 Months,Yes,18.84763609485034,__10000__,Low_spent_Large_value_payments,265.47261166090243,Poor
67,0x1ccaa,CUS_0x340b,January,Harryp,38,446-41-7044,Entrepreneur,64790.24,5235.1866666666665,9,9,21,7,"Home Equity Loan, Student Loan, Home Equity Loan, Student Loan, Credit-Builder Loan, Not Specified, and Credit-Builder Loan",31,19,10.26,,Bad,1654.05,32.63350072016952,7 Years and 2 Months,Yes,322.9971758647293,135.6795599129628,High_spent_Medium_value_payments,314.8419308889746,Poor
68,0x216fc,CUS_0x4c29,July,Kevin Yaov,47,621-62-2926,Writer,30403.95,2545.6625,8,7,16,0,,11,16,9.02,6.0,Standard,1306.93,33.05813400779205,24 Years and 11 Months,No,0.0,43.99947879073202,!@9#%8,460.56677120926804,Standard
69,0x1e622,CUS_0xa7ae,May,Kohc,53,932-88-7756,Entrepreneur,20292.46,1974.0383333333327,7,5,4,0,,30,11,10.11,3.0,Good,414.12,29.934355453352328,21 Years and 9 Months,No,9505.0,33.44955063952511,High_spent_Medium_value_payments,413.95428269380824,Good
70,0x141c1,CUS_0xb732,August,,25,724-75-1703,Manager,94511.76,8168.98,4,5,18,5,"Mortgage Loan, Mortgage Loan, Mortgage Loan, Student Loan, and Credit-Builder Loan",10,12,15.38,5.0,Standard,31.77,28.86039656667832,,Yes,337.5737942495585,136.78000380984298,High_spent_Large_value_payments,582.5442019405986,Good
71,0x18af2,CUS_0x5195,January,Bradenl,1817,179-78-8980,Entrepreneur,16678.77,1101.8975,8,6,20,9,"Personal Loan, Mortgage Loan, Not Specified, Payday Loan, Personal Loan, Not Specified, Not Specified, Home Equity Loan, and Not Specified",52,16,8.38,9.0,Bad,4312.53,26.37871355080767,4 Years and 8 Months,Yes,90.74345288894855,115.2146137684467,Low_spent_Small_value_payments,194.23168334260484,Standard
72,0x181e6,CUS_0x6277,January,Patrick Temple-Westp,38,177-35-4923,Lawyer,108457.74,9298.145,6,7,13,4,"Home Equity Loan, Auto Loan, Personal Loan, and Credit-Builder Loan",5,18,11.42,4.0,Standard,640.11,32.05092641355529,14 Years and 11 Months,Yes,238.850443172323,588.1848669970184,Low_spent_Large_value_payments,372.77918983065865,Standard
73,0x259f4,CUS_0x5f5a,March,Julienx,33,862-68-6961,Lawyer,66691.23,5553.6025,8,6,20,4,"Home Equity Loan, Not Specified, Student Loan, and Student Loan",27,19,19.78,8.0,_,760.71,35.30831333566,17 Years and 1 Months,Yes,213.937948059261,__10000__,High_spent_Large_value_payments,463.8130449972805,Standard
74,0xb923,CUS_0x62b7,February,Timz,45,055-47-7711,Musician,41811.51,3441.2925,4,4,3,3,"Auto Loan, Personal Loan, and Home Equity Loan",15,1,9.16,4.0,_,1137.64,37.05953231760303,32 Years and 3 Months,No,68.27704539187297,46.900236061570425,!@9#%8,468.9519685465566,Standard
75,0x103a0,CUS_0x725f,March,Skariachanf,32,112-81-8919,Architect,17044.23,1671.3525,1047,9,34,3,"Debt Consolidation Loan, Credit-Builder Loan, and Auto Loan",21,27,3.33,11.0,_,2396.18,32.987941407753304,14 Years and 0 Months,Yes,31.74690149352809,,Low_spent_Small_value_payments,282.94352753502136,Poor
76,0x13ab5,CUS_0x1fc1,April,Deightonp,46,517-59-6831,Doctor,31501.87,2482.1558333333332,5,3,16,2,"Home Equity Loan, and Personal Loan",20,16,15.25,3.0,_,333.02,26.77458591444357,29 Years and 11 Months,Yes,37.42615839037271,96.55467316535996,Low_spent_Medium_value_payments,394.23475177760076,Standard
77,0x12a15,CUS_0x4533,August,Langiw,26,#F%$D@*&8,Mechanic,69761.43000000001,5654.4525,6,3,8,2,"Home Equity Loan, and Credit-Builder Loan",27,19,1.17,3.0,Standard,535.22,35.20440740980635,26 Years and 4 Months,No,58.41828837870677,82.1202031465027,High_spent_Large_value_payments,664.9067584747906,Standard
78,0x1af71,CUS_0x3d3f,August,Busvinen,53,034-14-6103,Architect,147519.72,12393.31,4,6,8,3,"Mortgage Loan, Personal Loan, and Not Specified",29,9,9.5,8.0,Standard,652.22,35.589502021306444,32 Years and 11 Months,No,228.4565930673933,940.6928547751988,!@9#%8,350.18155215740796,Good
